Unnamed: 0_level_0,Total Loans,Defaulted Loans,% Defaulted
addr_state,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1
MS,544,100,18.382353
AR,731,132,18.057456
OK,899,145,16.129032
AL,1227,179,14.588427
FL,7295,1042,14.283756
NE,368,52,14.130435
MT,284,40,14.084507
NY,7976,1121,14.054664
LA,1061,148,13.949105
NV,1510,206,13.642384
OH,3315,447,13.484163
HI,492,66,13.414634
MI,2580,345,13.372093
MD,2403,319,13.275073
NM,510,67,13.137255
AK,240,31,12.916667
SD,211,27,12.796209
RI,455,58,12.747253
CA,13721,1744,12.710444
WI,1283,162,12.626656
MO,1687,213,12.625963
NC,2807,353,12.575704
IN,1625,204,12.553846
PA,3442,428,12.434631
TX,8335,1031,12.369526
VA,2814,348,12.366738
UT,683,83,12.152269
KY,996,121,12.148594
NJ,3622,438,12.092766
MN,1694,204,12.042503
ND,191,23,12.041885
MA,2211,260,11.759385
AZ,2442,282,11.547912
IL,3875,447,11.535484
TN,1613,184,11.407316
DE,297,33,11.111111
GA,3354,363,10.822898
CT,1548,162,10.465116
WY,215,22,10.232558
CO,2130,210,9.859155
KS,813,80,9.840098
SC,1276,115,9.012539
WA,2134,189,8.856607
DC,224,18,8.035714
WV,438,33,7.534247
NH,477,34,7.127883
OR,1237,87,7.033145
ID,220,13,5.909091
VT,242,14,5.785124
ME,252,8,3.174603
IA,1,0,0.0
