col_0,count
category,Unnamed: 1_level_1
Healthcare,10
Executive,7
IT/Technology,6
Education,6
Other,5
Operations,5
Finance,5
Administrative,5
Technical Support,4
Manufacturing,4
Security,3
Management,3
Customer Service,3
Sales,2
Insurance,2
Quality Assurance,2
Logistics,2
Engineering,2
Procurement,2
Content/Media,1
Animal Care,1
Event Management,1
Religious,1
Project Management,1
Marketing,1
Construction,1
Consulting,1
Labor,1
Agriculture,1
Human Resources,1
Hospitality,1
Emergency Services,1
